               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.034301,            0.035583,           0.0023126,             0.94163,             0.91096,              0.9554,             0.59837,            0.028964,            0.029299,           0.0012325,            0.008845,            0.008845,            0.008845
                  37,            0.034481,            0.036279,           0.0023302,             0.93683,             0.91586,             0.95616,             0.59916,            0.028942,            0.029266,           0.0012404,            0.008812,            0.008812,            0.008812
                  38,            0.034281,            0.035872,           0.0022879,             0.93862,             0.91593,             0.95598,             0.59982,            0.028896,            0.029217,           0.0012389,            0.008779,            0.008779,            0.008779
                  39,            0.034301,            0.035612,           0.0021911,             0.93556,             0.91802,             0.95616,             0.60041,            0.028877,            0.029193,           0.0012417,            0.008746,            0.008746,            0.008746
                  40,            0.034184,            0.035958,           0.0022797,             0.94042,             0.91398,             0.95663,             0.60083,            0.028823,             0.02918,           0.0012057,            0.008713,            0.008713,            0.008713
                  41,            0.034205,            0.035537,           0.0021612,             0.93864,             0.91632,             0.95705,             0.60135,            0.028813,            0.029174,           0.0012111,             0.00868,             0.00868,             0.00868
                  42,            0.034226,            0.035641,           0.0023424,             0.94022,             0.91514,             0.95699,              0.6016,            0.028783,            0.029157,           0.0011812,            0.008647,            0.008647,            0.008647
                  43,            0.034226,            0.035575,           0.0021015,             0.94002,             0.91577,             0.95695,             0.60197,            0.028765,            0.029143,           0.0011848,            0.008614,            0.008614,            0.008614
                  44,            0.034281,             0.03554,           0.0021127,             0.94386,             0.91293,             0.95701,             0.60222,             0.02875,            0.029137,           0.0011891,            0.008581,            0.008581,            0.008581
                  45,            0.034058,            0.035459,           0.0021195,             0.94023,             0.91641,             0.95676,             0.60245,            0.028719,            0.029118,           0.0012049,            0.008548,            0.008548,            0.008548
                  46,             0.03411,            0.035534,           0.0020117,             0.94213,             0.91501,             0.95684,             0.60262,             0.02869,             0.02911,           0.0012109,            0.008515,            0.008515,            0.008515
                  47,            0.034096,             0.03602,           0.0019385,             0.94201,             0.91498,             0.95693,             0.60286,            0.028671,            0.029088,           0.0012101,            0.008482,            0.008482,            0.008482
                  48,            0.033924,             0.03563,            0.002062,             0.94157,             0.91607,             0.95723,             0.60337,            0.028649,            0.029062,           0.0011986,            0.008449,            0.008449,            0.008449
                  49,            0.033882,            0.035344,           0.0019524,             0.94314,             0.91458,             0.95745,             0.60396,            0.028631,            0.029051,           0.0011816,            0.008416,            0.008416,            0.008416
                  50,             0.03384,            0.035362,           0.0018556,             0.93923,             0.91907,              0.9576,             0.60437,            0.028616,            0.029038,           0.0011714,            0.008383,            0.008383,            0.008383
